City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nagqu,31.5,92.0,11.72,64,100,2.5,CN,1691982941
84,prado,-17.3411,-39.2208,21.75,85,83,3.12,BR,1691982942
85,port elizabeth,-33.918,25.5701,11.16,71,0,3.09,ZA,1691982942
86,aykhal,66.0,111.5,14.3,67,100,6.43,RU,1691982942
87,tura,25.5198,90.2201,26.42,85,100,1.32,IN,1691982942
88,enewetak,11.3474,162.3373,28.83,75,99,5.92,MH,1691982943
89,ishqoshim,36.7248,71.6133,13.98,53,1,1.36,TJ,1691982943
90,lihue,21.9789,-159.3672,28.77,63,75,5.66,US,1691982843
91,shingu,33.7333,135.9833,25.45,94,100,10.37,JP,1691982943
92,cloverleaf,29.7783,-95.1719,32.96,81,0,5.14,US,1691982943
93,hadibu,12.65,54.0333,26.29,80,33,8.23,YE,1691982944
94,vorkuta,67.5,64.0,17.04,92,98,3.08,RU,1691982788
95,longyearbyen,78.2186,15.6401,6.91,93,100,3.6,SJ,1691982944
96,martapura,-3.4167,114.85,31.05,58,20,2.06,ID,1691982944
97,clarence town,-32.5833,151.7833,17.19,64,89,4.34,AU,1691982944
98,luanda,-8.8368,13.2343,18.92,85,64,2.32,AO,1691982944
99,kolasib,24.2333,92.7,27.5,98,100,0.25,IN,1691982945
100,male,4.1748,73.5089,29.97,70,40,4.12,MV,1691982945
101,kailua-kona,19.6406,-155.9956,28.98,75,40,3.6,US,1691982945
102,malita,6.415,125.6117,28.8,69,100,0.58,PH,1691982945
103,gawler,-34.6,138.7333,17.83,56,51,0.95,AU,1691982945
104,nova borova,50.693,28.6345,15.7,75,3,2.97,UA,1691982946
105,kovdor,67.5662,30.4758,15.05,81,100,0.45,RU,1691982946
106,vilyuchinsk,52.9306,158.4028,23.15,67,5,1.23,RU,1691982946
107,isafjordur,66.0755,-23.124,10.23,58,44,1.99,IS,1691982946
108,ungsang-nodongjagu,42.3578,130.4622,19.49,96,100,2.84,KP,1691982946
109,labrador city,52.9463,-66.9114,11.95,87,100,2.06,CA,1691982947
110,boca suno,-0.7167,-77.1333,21.18,98,34,0.74,EC,1691982947
111,kalamata,37.0389,22.1142,23.39,58,20,2.57,GR,1691982947
112,acarau,-2.8856,-40.12,25.66,84,57,5.61,BR,1691982947
113,port alfred,-33.5906,26.891,12.32,89,100,0.89,ZA,1691982947
114,kongwa,-6.2,36.4167,15.5,92,3,1.89,TZ,1691982947
115,aasiaat,68.7098,-52.8699,3.32,98,100,1.81,GL,1691982948
116,newborough,52.6389,-0.2233,16.73,88,100,6.17,GB,1691982948
117,fort-shevchenko,44.5086,50.263,27.77,35,5,9.39,KZ,1691982948
118,sao vicente,-23.9631,-46.3919,18.48,26,100,2.65,BR,1691982948
119,juneau,58.3019,-134.4197,15.0,93,75,2.57,US,1691982687
120,machico,32.7,-16.7667,24.84,83,20,5.66,PT,1691982417
121,ebon,4.582,168.6964,28.5,73,78,2.78,MH,1691982949
122,whitehorse,60.7161,-135.0538,15.57,44,75,7.72,CA,1691982749
123,qui nhon,13.7667,109.2333,32.52,57,78,2.03,VN,1691982949
124,egilsstadir,65.2653,-14.3948,4.95,93,40,1.54,IS,1691982753
125,tiksi,71.6872,128.8694,13.48,40,7,1.29,RU,1691982949
126,ust-nera,64.5667,143.2,26.69,27,100,1.84,RU,1691982949
127,zaozersk,69.4005,32.4476,14.3,87,100,2.03,RU,1691982950
128,udachny,66.4167,112.4,16.92,63,100,6.63,RU,1691982950
129,ayaviri,-14.8864,-70.5889,7.22,53,100,0.91,PE,1691982950
130,touros,-5.1989,-35.4608,23.61,83,7,6.81,BR,1691982950
131,arauco,-37.2463,-73.3175,10.31,93,100,1.22,CL,1691982950
132,savannah,32.0835,-81.0998,29.98,83,0,3.6,US,1691982764
133,ilulissat,69.2167,-51.1,5.01,100,75,1.03,GL,1691982951
134,biaora,23.8667,76.9167,24.75,83,100,5.45,IN,1691982951
135,sao felix do xingu,-6.6447,-51.995,22.99,39,1,0.56,BR,1691982889
136,laguna,38.421,-121.4238,34.31,40,0,2.57,US,1691982951
137,erechim,-27.6342,-52.2739,5.68,88,27,1.28,BR,1691982951
138,porto novo,6.4965,2.6036,24.9,88,100,4.81,BJ,1691982951
139,chonchi,-42.6128,-73.8092,11.18,99,100,1.11,CL,1691982952
140,margate,51.3813,1.3862,17.72,88,77,3.13,GB,1691982952
